core	from	to	thickness	type	event_id
VILLAR1	75	77	1.2	tephra	
VILLAR1	90	92	0.5	lahar	
VILLAR1	93	94	0.4	lahar	
VILLAR1	97	99	0.8	lahar	
VILLAR1	100	102	1	lahar	
VILLAR1	125	127	0.8	lahar	
VILLAR1	129	131	0.8	lahar	
VILLAR1	198	200	0.7	tephra	quet5
VILLAR1	205	207	0.9	lahar	
VILLAR1	234	235	0.6	lahar	
VILLAR1	274	277		tephra	alpehue
VILLAR1	308	311	1.7	tephra	pucon
VILLAR1	314	316	0.2	tephra	
VILLAR1	317	318	0.1	tephra	
VILLAR1	318	319	0.15	tephra	
VILLAR1	319	320	0.1	tephra	
VILLAR1	327	330	2	tephra	
VILLAR1	347	348	0.3	tephra	
VILLAR1	348	350	0.3	tephra	
VILLAR1	393	394	0.2	tephra	
VILLAR1	396	397	0.15	tephra	
VILLAR1	400	401	0.2	tephra	
VILLAR1	402	403	0.6	tephra	pcc_ranco
VILLAR1	454	455	0.4	tephra	
VILLAR1	489	491	0.8	tephra	
VILLAR1	512	517	4	tephra	
VILLAR1	552	554	1.1	tephra	cha1
VILLAR1	569	570	0.3	tephra	
VILLAR1	579	580	0.6	tephra	
VILLAR1	585	587	0.9	tephra	
VILLAR1	588	590	0.2	tephra	
VILLAR1	592	595	2	tephra	
VILLAR1	600	601	0.3	tephra	
VILLAR1	602	603	0.4	tephra	
VILLAR1	603	604	0.7	tephra	
VILLAR1	605	607	1.8	tephra	
VILLAR1	611	613	0.2	tephra	
VILLAR1	631	632	0.5	tephra	llaima
VILLAR1	647	648	0.4	tephra	
VILLAR1	696	700	3	tephra	mc4
VILLAR1	709	710	0.3	tephra	
VILLAR1	710	711	0.3	tephra	
VILLAR1	716	718	0.5	tephra	
LR0901B	81	81.5	0.5	tephra	
LR0901B	279	287	8	tephra	pucon
LR0901B	289.5	296.5	7	tephra	
LR0901B	354	356.5	2.5	tephra	
LR0901B	370.5	371	0.5	tephra	
LR0901B	412.5	414	1.5	tephra	
LR0901B	490.5	491.5	1	tephra	cha1
LR0901B	501	513	12	tephra	cabHuel
LR0901B	527	527.5	0.5	tephra	llaima
LR0901B	532	549	17	tephra	mc4
LR0901B	605	617	8	tephra	
LR0901B	650.5	650.6	0.1	tephra	
LR0901B	659	659.3	0.3	tephra	
LR0901B	664	664.1	0.1	tephra	
LR0901B	670.5	671.2	0.7	tephra	quet3
VILL1	1	2	0.2	lahar	
VILL1	4	5	0.4	lahar	
VILL1				lahar	
VILL1				lahar	
VILL1	13	14	0.3	lahar	
VILL1	21	22	0.1	lahar	
VILL1	23	24	0.3	lahar	
VILL1	32	33	0.3	lahar	
VILL1	34	35	0.2	lahar	
VILL1	47	48	0.25	tephra	
VILL1	50	51	0.3	tephra	
VILL1	61	63	0.5	lahar	
VILL1	64	66	0.2	lahar	
VILL1	66	68	0.5	lahar	
VILL1	68	69	0.2	lahar	
VILL1	77	79	0.6	tephra	milHojas
VILL1	82	83	0.1	lahar	
VILL1	100	102	0.2	lahar	
VILL1	104	106	0.3	lahar	
VILL1	110	111	0.5	lahar	
VILL1	121	123	0.3	lahar	
VILL1	165	167	0.3	lahar	
VILL1	166	170	1.6	tephra	
VILL1	177	180	1	lahar	
VILL1	181	182	0.1	lahar	
VILL1	182	184	1.2	tephra	
VILL1	183	185	1	lahar	
VILL1	189	190	0.8	lahar	
VILL1	191	192	0.4	lahar	
VILL1	193	194	0.3	tephra	
VILL1	196	197	0.2	lahar	
VILL1	223	227	0.5	lahar	
VILL1	233	236	0.3	lahar	
VILL1	249	251	0.8	lahar	
VILL1	253	256	1.2	lahar	
VILL1	261	266	0.4	lahar	
VILL1	282	283	0.3	lahar	
VILL1	284	285	0.6	tephra	
VILL1	284	286	0.4	lahar	
VILL1	288	289	0.3	tephra	
VILL1	288	289	0.3	lahar	
VILL1	289	290	0.2	lahar	
VILL1	293	295	0.9	tephra	
VILL1	301	302	0.2	lahar	
VILL1	302	303	0.15	lahar	
VILL1	303	304	0.15	lahar	
VILL1	305	306	0.2	lahar	
VILL1	306	307	0.5	tephra	
VILL1	317	319	0.5	tephra	
VILL1	320	322	1.2	lahar	
VILL1	322	323	0.5	lahar	
VILL1	325	326	0.3	tephra	
VILL1	327	329	0.3	tephra	
VILL1	330	331	0.2	lahar	
VILL1	332	334	0.6	lahar	
VILL1	346	347	0.4	lahar	
VILL1	346	347	0.4	tephra	
VILL1	348	349	0.4	tephra	
VILL1	350	351	0.3	lahar	
VILL1	351	352	0.2	lahar	
VILL1	352	354	0.4	tephra	
VILL1	355	356	0.5	lahar	
